"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\cards\[token]\weeklyCardOg.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 5, 8, 112
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\coaching\reports\[reportId]\stream\route.ts", "TypeScript", -55, 0, 0, 0, 0, 0, -12, -67
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\coaching\voice\synthesize\route.ts", "TypeScript", -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\coaching\voice\transcribe\route.ts", "TypeScript", -4, 0, 0, 0, 0, 0, -1, -5
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\counter\route.ts", "TypeScript", -43, 0, 0, 0, 0, 0, -9, -52
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\draft\analyze\route.ts", "TypeScript", -71, 0, 0, 0, 0, 0, -12, -83
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\inngest\route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\lemonsqueezy\checkout\route.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 2, 8
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\lemonsqueezy\webhook\route.ts", "TypeScript", -25, 0, 0, 0, 0, -1, -2, -28
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\matchup\analyze\route.ts", "TypeScript", -72, 0, 0, 0, 0, 0, -12, -84
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\og\report\[shareToken]\reportOgTemplate.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 5, 9, 163
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\og\report\[shareToken]\route.tsx", "TypeScript JSX", 0, -147, 0, 0, 0, -5, -7, -159
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\public\preview\route.ts", "TypeScript", -101, 0, 0, 0, 0, -2, -14, -117
